Altium Designer Pick and Place Locations
C:\Users\abain\Desktop\ULSWAPDAQ\UL-SWAP-DAQ-1\Project Outputs for UL-SWAP-DAQ-1\Pick Place for UL-SWAP-DAQ-2.txt

========================================================================================================================
File Design Information:

Date:       31/03/23
Time:       09:35
Revision:   f05a8f9525054e2c2d4e3a4a99affeb82bae763d
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                         
D3         CMJ0500                TopLayer    CMJ2000_Footprint              1685.039      1776.500      180      "CMJ0500: DIODE CUR REG 100V 0.5mA 500MW"                                                                                                                                                                           
J3         Nano-D-Connector       TopLayer    A28400-025                     4562.609      2644.609      90       ""                                                                                                                                                                                                                  
Q1         Comment                BottomLayer PCBComponent_1                 1865.731      1263.509      180      "P-Channel MOSFET"                                                                                                                                                                                                  
R37        SFR03EZPF1303          BottomLayer SFR03EZPF1303                  2388.611      1416.922      180      Resistor                                                                                                                                                                                                            
C60        C1206C472J5GAC         BottomLayer Yemet_0603                     2256.711      1635.404      270      "C1206 4,700 pF C0G 5.00% 50 V"                                                                                                                                                                                     
C56        Comment                BottomLayer Yemet_0603                     2105.170      1151.401      270      Capacitor                                                                                                                                                                                                           
C55        Comment                BottomLayer Yemet_0603                     2230.628      1154.230      0        Capacitor                                                                                                                                                                                                           
C62        Comment                BottomLayer Yemet_0603                     2368.221      1644.110      180      Capacitor                                                                                                                                                                                                           
C61        C0402C103J4RAC         BottomLayer Yemet_0603                     2489.864      1606.677      270      "C0402 10,000 pF X7R 5.00% 16 V"                                                                                                                                                                                    
C57        C0402C104K8PAC         BottomLayer Yemet_0603                     2128.101      1269.018      180      "C0402 0.10 µF X5R 10.00% 10 V"                                                                                                                                                                                     
R41        AC0603FR-10100RL       BottomLayer 0603res_Yageo                  1972.235      1362.810      270      "RES 100O 1.00% 0.1W 0603"                                                                                                                                                                                          
R39        Comment                BottomLayer 0603res_Yageo                  2156.282      1631.994      0        Resistor                                                                                                                                                                                                            
R38        Comment                BottomLayer 0603res_Yageo                  2075.098      1696.005      0        Resistor                                                                                                                                                                                                            
R36        ESR01MZPF1004          BottomLayer 0603res_Yageo                  2529.595      1427.587      180      Resistor                                                                                                                                                                                                            
U10        TPS6513x               BottomLayer TPS6513final                   2169.783      1443.265      180      "Boost Inverting Buck-Boost Voltage Converter with 2.7 to 5.5 V Input and -15 to 15 V Output, -40 to 85 degC, 24-Pin VQFN (RGE), Green (RoHS & no Sb/Br)"                                                           
R68        RC0603FR-07100KL       TopLayer    FP-RC0603-0_55-MFG             1749.252      2190.110      180      "RES SMD 100K OHM 1% 1/10W 0603"                                                                                                                                                                                    
C68        GRM31CR60J227ME11K     TopLayer    FP-GRM31C-0_3-e0_3_0_9-IPC_C   1945.000      2280.000      180      "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 220uF, X5R, 15%, 20%, 6.3V"                                                                                                                          
D4         CMJ2000                TopLayer    CMJ2000_Footprint              1850.000      1780.000      180      "DIODE CUR REG 100V 2.32MA 500MW"                                                                                                                                                                                   
C59        Comment                BottomLayer GRM32ER71E226KE15K             1919.977      1084.221      90       Capacitor                                                                                                                                                                                                           
C58        Comment                BottomLayer GRM32ER71E226KE15K             2905.739      1134.837      90       Capacitor                                                                                                                                                                                                           
L2         7447789004             BottomLayer WE-PD-S-PB                     1635.000      1355.000      90       "SMD-Shielded Power Inductor WE-PD, L=4.70 µH"                                                                                                                                                                      
L1         7447789004             BottomLayer WE-PD-S-PB                     2449.462      1186.931      90       "SMD-Shielded Power Inductor WE-PD, L=4.70 µH"                                                                                                                                                                      
D2         MBRM120ET3G            BottomLayer ONSC-POWERMITE-2-457-04_D_V    1857.865      1500.866      270      "Schottky Power Rectifier, 2-Pin Powermite, Pb-Free, Tape and Reel"                                                                                                                                                 
D1         MBRM120ET3G            BottomLayer ONSC-POWERMITE-2-457-04_D_V    2666.024      1244.930      90       "Schottky Power Rectifier, 2-Pin Powermite, Pb-Free, Tape and Reel"                                                                                                                                                 
C64        C0805C759D5GACTU       BottomLayer FP-C0805C-DN-MFG               1946.296      1695.903      270      "CAP CER 7.5PF 50V NP0 0805"                                                                                                                                                                                        
C63        CGA1A2C0G1E6R8D030BA   BottomLayer 885012007027                   2627.110      1435.217      0        "Cap Ceramic 6.8pF 25V C0G 0.5pF Pad SMD 0201 125°C Automotive T/R"                                                                                                                                                 
C28        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2610.955      2532.206      270      "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
C19        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2606.855      1977.426      270      "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
C26        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2050.000      2683.674      90       "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
C17        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2050.000      2133.674      90       "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
C14        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2050.000      1966.326      270      "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
C23        ""                     TopLayer    FP-C2012-060-0_2-IPC_A         2050.000      2508.826      270      "Multilayer Ceramic Capacitors 6.8µF ±10% 10V JB SMD 0805"                                                                                                                                                          
R53        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2700.000      2235.000      180      "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R52        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2700.000      2315.000      180      "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R51        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2700.000      2395.000      180      "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R50        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2620.000      2455.000      270      "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R49        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2315.000      2430.000      0        "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R48        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2315.000      2355.000      0        "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R47        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2315.000      2280.000      0        "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
R46        RC0603FR-073K3L        BottomLayer RESC1608X55X25ML10T15          2315.000      2205.000      0        "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                                  
U5         THS7002CPWP            TopLayer    THS7002CPWP                    2309.887      2044.300      0        "70-MHz High-Speed Programmable-Gain Amplifier, Dual, 0 to 70 degC, 28-pin SOP (PWP28), Green (RoHS & no Sb/Br)"                                                                                                    
L3         MSS1260H-822MED        BottomLayer MSS1246H-103MED_10uH           3764.429      1133.949      270      Inductor                                                                                                                                                                                                            
C54        Comment                TopLayer    Cap22uF_C1206C226M4PAC7800     4107.620      3219.169      270      Capacitor                                                                                                                                                                                                           
C53        Comment                TopLayer    Cap22uF_C1206C226M4PAC7800     4105.346      3333.463      270      Capacitor                                                                                                                                                                                                           
L4         Inductor               TopLayer    MSS1246H-103MED_10uH           3851.488      3162.311      180      Inductor                                                                                                                                                                                                            
R72        330                    TopLayer    RESC1609X50X30LL10T20          4565.000      2222.520      180      CRCW0603330RJNEA                                                                                                                                                                                                    
R71        330                    TopLayer    RESC1609X50X30LL10T20          4565.000      2052.520      180      CRCW0603330RJNEA                                                                                                                                                                                                    
R70        330                    TopLayer    RESC1609X50X30LL10T20          4565.000      1892.520      180      CRCW0603330RJNEA                                                                                                                                                                                                    
LED3       ""                     TopLayer    KING-APT1608SGC_V              4665.000      2245.000      270      "Super Bright Green LED, 62.5 mW, 25 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel, APT1608SGC"                                                                                                                
LED2       ""                     TopLayer    KING-APT1608SGC_V              4665.000      2085.000      270      "Super Bright Green LED, 62.5 mW, 25 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel, APT1608SGC"                                                                                                                
